settings_id,stem_file,iterations_number,pile_width,pile_height,pile_depth,n_sides,n_meshes,lateral_friction,spinning_friction,rolling_friction,restitution,bend_function,random_turn,drop_algorithm
1prel01,BB10_2019.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel02,BB10_2019.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,simple 
1prel03,BB10_2019.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,grid
1prel04,BB10_2019.csv,5,4,2,3,20,10,0,0,0,0.1,shifted sin,TRUE,rowwise
1prel05,BB10_2019.csv,5,4,2,3,20,10,0.5,0.5,0.5,0.5,shifted sin,TRUE,rowwise
1prel06,BB10_2019.csv,2,4,2,3,5,5,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel07,BB10_2019.csv,2,4,2,3,50,20,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel08,150straight.csv,2,3,3,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel09,300straight.csv,2,5,3,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel10,600straigt.csv,2,10,3,3,20,10,0.1,0.01,0.01,0.1,shifted sin,TRUE,rowwise
1prel11,My_Stems.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,4th order poly,TRUE,rowwise
1prel12,My_Stems.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,parabola,TRUE,rowwise
1prel13,My_Stems.csv,5,4,2,3,20,10,0.1,0.01,0.01,0.1,double sin,TRUE,rowwise
