Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
1,3,0.005138949590742769,0.015175777630686206,0.015416848772228308,0.9843631376876211
2,3,0.017742203674455247,0.05447500344563559,0.05322661102336574,1.0234542909696398
3,3,0.017742203674455247,0.05447500344563559,0.05322661102336574,1.0234542909696398
4,3,0.054758327307334737,0.0730795727543771,0.1642749819220042,0.44486124362548646
5,3,0.017742203674455247,0.05447500344563559,0.05322661102336574,1.0234542909696398
6,3,0.056789447921033645,0.17745757293783396,0.17036834376310095,1.04161118795984
7,3,0.004783676419606089,0.015175777630686206,0.014351029258818267,1.0574696321074781
8,3,0.004733174402904024,0.015175777630686206,0.014199523208712072,1.0687526199031214
9,3,0.05476729835609177,0.0730795727543771,0.1643018950682753,0.44478837401120075
10,3,0.05679450354364256,0.17745757293783396,0.17038351063092766,1.0415184678418183
