Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Duation (sec.),Waiting Loops,Duration (tics),Settings ID
1,0,10,10,0,4.284991859311888,12.854975577935665,7.394446178568495,0.5752205543867663,3.278443116688373,4.198017415577982,2.8110063658359143,0.090978,0,80,01
2,0,10,10,0,3.200350013966975,9.601050041900924,7.394446178568495,0.7701705694999648,4.662400903761858,2.7980245927690905,4.210999188644805,0.085375,0,80,01
3,0,10,10,0,4.453619897782078,13.360859693346233,7.3944461785684945,0.5534408973885836,3.2720846142991746,4.217407489292227,2.79161629212167,0.08375,0,80,01
1,0,10,10,1,4.685090112119217,14.055270336357651,7.394446178568495,0.5260977556184613,3.244218848369211,4.207141142935222,2.8018826384786744,0.351551,2,180,02
2,0,10,10,1,4.845150504927157,14.535451514781471,7.394446178568495,0.5087180244142326,2.522800189417078,4.931492601699863,2.0775311797140326,0.213752,2,180,02
3,0,10,10,1,3.1591306708128752,9.477392012438626,7.394446178568495,0.7802195128009516,4.632422598881905,2.827181517838987,4.18184226357491,0.127268,1,130,02
1,0,10,10,1,3.05030844360616,9.150925330818481,7.394446178568495,0.8080544765965343,4.615838418698971,2.772151176835085,4.236872604578812,0.284,1,130,03
2,0,10,10,4,4.996113086558659,14.988339259675978,7.394446178568495,0.493346597675582,2.2591412494284437,4.843119470250906,2.16590431116299,0.914489,4,280,03
3,0,10,10,0,3.6936532636937396,11.080959791081218,7.394446178568495,0.6673109837037849,3.9809647241900996,3.5545865125666283,3.4544372688472675,0.392141,2,180,03
1,0,10,10,2,3.8253786422432587,11.476135926729777,7.394446178568495,0.644332397749458,5.009124225556032,2.9037565805010077,4.1052672009128885,0.883673,3,230,04
2,0,10,10,1,4.238127895461887,12.714383686385663,7.394446178568495,0.5815811730210988,2.4558912295857254,4.843709849843062,2.1653139315708336,1.485034,5,330,04
3,0,10,10,3,4.034286982605956,12.10286094781787,7.394446178568495,0.6109667962352079,3.1368186669232885,4.1121293970164015,2.8968943843974944,1.218263,4,280,04
1,0,10,10,1,4.730499342669618,14.191498028008855,7.394446178568495,0.5210476134354913,3.2654453045813074,4.20700465879916,2.8020191226147384,0.846968,3,230,05
2,0,10,10,1,4.367718215982667,13.103154647948003,7.3944461785684945,0.5643256434988722,2.925076495532,4.222285865304275,2.7867379161096215,1.768604,5,330,05
3,0,10,10,0,5.059196751275193,15.17759025382558,7.3944461785684945,0.4871950062497366,2.3083949035150058,4.9613097913025115,2.0477139901113848,1.325169,4,280,05
