Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
1,0,13,3,10,26.161934774369534,65.92807563141123,49.94869838651917,0.7576240912258823,26.43684171681154,19.873792095629057,20.032157739261283,False,351.620947,4,880,2608
2,0,21,3,18,26.302353264186934,66.28193022575107,49.94869838651914,0.7535794177447426,26.092189899109922,20.0514683239047,19.85448151098561,False,337.511901,6,980,2608
3,0,12,3,9,26.480186114938295,66.73006900964451,49.94869838651915,0.748518608294861,26.422484075895706,20.000469750801578,19.90548008408873,False,465.534658,11,1230,2608
4,0,22,2,20,26.357290605535105,66.42037232594846,49.94869838651919,0.7520087081325456,25.965409275121438,20.088620484466826,19.817329350423496,False,524.348926,14,1380,2608
5,0,23,3,20,26.00411393335281,65.53036711204908,49.948698386519176,0.7622221664211477,25.920333395086015,19.906093951293244,19.999855883597085,False,245.375306,3,830,2608
6,0,21,3,18,26.45653674724568,66.67047260305911,49.94869838651913,0.7491877053864965,26.1151408865032,20.10737579260873,19.798574042281565,False,412.308316,10,1180,2608
7,0,18,3,15,26.535137480176886,66.86854645004576,49.94869838651919,0.7469685081884266,26.729626228112835,20.020758470317716,19.885191364572588,False,564.418644,15,1430,2608
8,0,17,3,14,26.378883755467996,66.47478706377935,49.94869838651915,0.7513931310317066,26.386099032282907,19.88188562370285,20.02406421118749,False,303.882389,5,930,2608
9,0,22,3,19,26.49949272401253,66.77872166451158,49.94869838651922,0.7479732636610744,26.199275997027755,19.98222212403246,19.92372771085785,False,468.952843,11,1230,2608
10,0,22,3,19,26.07761432097123,65.7155880888475,49.948698386519226,0.7600738247824637,26.381765176550168,19.89797796083197,20.007971874058363,False,369.050903,7,1030,2608
11,0,20,3,17,26.455149408833844,66.66697651026129,49.94869838651917,0.749226993650014,26.468730433664675,19.935256570498364,19.970693264391965,False,245.787181,3,830,2608
12,0,22,3,19,26.15494947393916,65.91047267432668,49.94869838651919,0.7578264327328229,26.73012824701199,19.58576805371453,20.32018178117577,False,433.354095,9,1130,2608
13,0,23,3,20,26.470955766822485,66.70680853239266,49.948698386519155,0.7487796146365508,26.32191310164697,20.11750303068686,19.78844680420346,False,495.088459,11,1230,2608
14,0,14,3,11,26.39316780479194,66.5107828680757,49.94869838651917,0.7509864751643736,26.064963284337775,20.0102961813831,19.895653653507214,False,466.950332,10,1180,2608
15,0,34,3,32,25.944236511941703,65.37947601009309,49.948698386519155,0.7639813200523086,26.108155755482713,19.906967314050938,19.998982520839366,False,548.583594,12,1280,2608
16,0,29,3,26,26.44709529047348,66.64668013199318,49.9486983865192,0.7494551609712026,25.8650127656889,20.070315994870683,19.83563384001966,False,390.155398,8,1080,2608
17,0,27,3,24,26.319366018599275,66.32480236687017,49.94869838651915,0.7530923064079715,25.891824062329757,20.06800409683693,19.837945738053406,False,378.623527,7,1030,2608
18,0,18,3,15,26.196832759678408,66.01601855438959,49.94869838651914,0.7566148259208811,26.49751455630057,19.779147218709934,20.126802616180395,False,401.308114,8,1080,2608
19,0,23,3,20,26.293830372901677,66.26045253971223,49.94869838651915,0.7538236832382502,26.01067252284386,20.09947971363322,19.8064701212571,False,401.568118,8,1080,2608
20,0,23,3,20,26.103605516919345,65.78108590263675,49.94869838651918,0.7593170240523053,26.408213826827392,19.753196092594983,20.152753742295385,False,380.380386,8,1080,2608
1,0,28,8,24,30.078714975896922,75.79836173926024,49.94869838651917,0.6589680468073748,29.98655637226472,19.8135214259681,20.09242840892224,False,151.257564,8,2360,2609
2,0,50,10,46,32.85343821467307,82.79066430097613,49.948698386519155,0.6033131731488021,31.416609876994514,20.02421108064402,19.88173875424631,False,126.10511,5,2330,2609
3,0,30,3,27,30.29703993211995,76.34854062894227,49.948698386519176,0.6542194254802112,29.975076458651795,20.17694196369275,19.729007871197567,False,121.768571,6,2260,2609
4,0,35,7,32,29.197787778889175,73.57842520280072,49.94869838651913,0.6788497884923184,29.859699813405506,19.674729318284403,20.231220516605926,False,108.004199,5,2210,2609
5,0,14,3,12,30.386180574128453,76.5731750468037,49.94869838651917,0.6523002129138449,30.175233228356692,19.999992228718252,19.905957606172088,False,141.102171,10,2460,2609
6,0,30,3,27,30.87237766000217,77.79839170320547,49.94869838651916,0.6420273901942521,30.240696392692268,19.997369784250658,19.908580050639653,False,123.648824,5,2210,2609
7,0,19,3,16,28.83807885436426,72.67195871299793,49.94869838651917,0.687317354191328,28.62303372105118,20.016617851200298,19.889331983690024,False,131.334018,6,2260,2609
8,0,20,4,17,29.093201176056795,73.31486696366312,49.948698386519176,0.6812901728550518,29.40848153136294,20.038100533004442,19.867849301885887,False,115.992602,5,2210,2609
9,0,25,3,24,30.229101671144363,76.1773362112838,49.948698386519176,0.6556897480371663,29.139859065522025,20.064652802873656,19.841297032016666,False,123.48455,4,2160,2609
