Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Duation (sec.),Waiting Loops,Duration (tics)
1,0,20,3,17,25.53281870432033,64.34270313488723,49.946421052376785,0.7762561816476646,54.967674,6,400
2,0,31,3,28,25.57845556627526,64.45770802701365,49.94642105237682,0.7748711919983987,29.039181,5,350
3,0,29,5,25,25.299075192630294,63.75366948542834,49.94642105237681,0.7834281768485917,36.477577,6,400
4,0,13,5,8,25.624023718702812,64.57253977113109,49.946421052376785,0.7734932097979317,46.473137,7,450
5,0,16,3,13,25.936449095738432,65.35985172126085,49.946421052376806,0.7641758623532766,35.799139,6,400
6,0,22,3,19,25.77767905979837,64.9597512306919,49.946421052376806,0.7688825789218593,27.72297,5,350
7,0,22,4,18,25.27187054530937,63.68511377417961,49.94642105237679,0.7842715211200108,45.801275,7,450
8,0,19,3,18,25.518765311955928,64.30728858612893,49.94642105237684,0.7766836722633998,37.040267,6,400
9,0,16,3,14,25.63585563902291,64.60235621033773,49.94642105237688,0.7731362133256744,27.71016,5,350
10,0,21,4,17,25.49187179640263,64.23951692693463,49.9464210523768,0.777503061070421,19.346422,4,300
11,0,21,3,18,25.540860870289073,64.36296939312847,49.94642105237679,0.7760117583653495,36.520747,6,400
12,0,23,3,20,25.703660753542227,64.77322509892642,49.94642105237679,0.7710967143614503,47.902962,7,450
13,0,18,3,15,25.234605498516668,63.59120585626201,49.9464210523768,0.7854296892132048,38.097032,6,400
14,0,15,3,12,25.43226671277967,64.08931211620477,49.946421052376806,0.7793252791013812,27.006943,5,350
15,0,24,3,22,25.66800018098096,64.68336045607202,49.9464210523768,0.7721679996248274,19.497823,4,300
16,0,26,3,23,26.20747490131433,66.04283675131211,49.946421052376834,0.7562731025690613,26.660458,5,350
17,0,23,5,18,26.027488573436994,65.58927120506122,49.94642105237679,0.7615029125147934,36.451157,6,400
18,0,29,3,26,25.29929301368539,63.75421839448718,49.946421052376785,0.7834214317133821,35.227741,6,400
19,0,22,3,19,25.397159914368324,64.00084298420818,49.94642105237679,0.7804025497711142,29.427896,5,350
20,0,16,3,13,25.574074288490596,64.44666720699631,49.94642105237676,0.775003940730617,37.761328,6,400
