"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
1,"BB10_2019.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",1
2,"BB10_2019.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",2
3,"BB10_2019.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",3
4,"Darre_neu.csv",20,15,4,2.52,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",4
5,"Darre_neu.csv",20,23,4,2.52,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",5
6,"Darre_neu.csv",20,23,4,2.52,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",6
7,"My200-0-0-0.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",7
8,"My200-0-0-0.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",8
9,"My200-0-0-0.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",9
10,"My200-0-0-03p012.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",10
11,"My200-0-0-03p012.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",11
12,"My200-0-0-03p012.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",12
13,"My200-0-0-03p025.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",13
14,"My200-0-0-03p025.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",14
15,"My200-0-0-03p025.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",15
16,"My200-0-0-03p025+06p025.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",16
17,"My200-0-0-03p025+06p025.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid",17
18,"My200-0-0-03p025+06p025.csv",20,12,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"trapezoid-freeze",18
19,"My200-0-0-03p025+09p025.csv",20,4,2,3,30,12,0.45,0.45,0.45,0,"4th order poly",TRUE,"grid",19
