settings_id,stem_file,iterations_number,pile_width,pile_height,pile_depth,n_sides,n_meshes,lateral_friction,spinning_friction,rolling_friction,restitution,bend_function,random_turn,drop_algorithm
7597,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7598,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,FALSE,trapezoid
7599,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7600,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,TRUE,grid
7601,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,TRUE,rowwise
7602,My200-4-2-0.csv,20,4,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7603,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,TRUE,trapezoid
7604,My200-4-2-0.csv,20,12,2,3,40,8,0.65,0.85,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7605,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,FALSE,grid
7606,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,FALSE,rowwise
7607,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7608,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,FALSE,trapezoid
7609,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7610,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,TRUE,grid
7611,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,TRUE,rowwise
7612,My200-4-2-0.csv,20,4,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7613,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,TRUE,trapezoid
7614,My200-4-2-0.csv,20,12,2,3,40,15,0.65,0.85,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7615,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
7616,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise
7617,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,rowwise-freeze
7618,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid
7619,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,FALSE,trapezoid-freeze
7620,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,grid
7621,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise
7622,Darre_neu.csv,20,15,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,rowwise-freeze
7623,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid
7624,Darre_neu.csv,20,23,4,2.52,10,8,0.85,0.45,0.02,0.1,shifted sin,TRUE,trapezoid-freeze
7625,Darre_neu.csv,20,15,4,2.52,10,15,0.85,0.45,0.02,0.1,shifted sin,FALSE,grid
