settings_id,stem_file,iterations_number,pile_width,pile_height,pile_depth,n_sides,n_meshes,lateral_friction,spinning_friction,rolling_friction,restitution,bend_function,random_turn,drop_algorithm
1663,Darre_neu.csv,20,15,4,2.52,10,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise
1664,Darre_neu.csv,20,15,4,2.52,10,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
1665,Darre_neu.csv,20,23,4,2.52,10,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
1672,Darre_neu.csv,20,15,4,2.52,10,15,0.45,0.45,0.02,0.1,4th order poly,TRUE,grid
1673,Darre_neu.csv,20,15,4,2.52,10,15,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise
1674,Darre_neu.csv,20,15,4,2.52,10,15,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
1795,My200-4-2-0.csv,20,12,2,3,10,15,0.45,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
1796,My200-4-2-0.csv,20,12,2,3,10,15,0.45,0.45,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
1797,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,FALSE,grid
1798,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,FALSE,rowwise
1799,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
1800,My200-4-2-0.csv,20,12,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
1801,My200-4-2-0.csv,20,12,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
1802,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,grid
1803,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise
1804,My200-4-2-0.csv,20,4,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,rowwise-freeze
1805,My200-4-2-0.csv,20,12,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,trapezoid
1806,My200-4-2-0.csv,20,12,2,3,20,8,0.45,0.45,0.02,0.1,4th order poly,TRUE,trapezoid-freeze
1807,My200-4-2-0.csv,20,4,2,3,20,15,0.45,0.45,0.02,0.1,4th order poly,FALSE,grid
1808,My200-4-2-0.csv,20,4,2,3,20,15,0.45,0.45,0.02,0.1,4th order poly,FALSE,rowwise
1809,My200-4-2-0.csv,20,4,2,3,20,15,0.45,0.45,0.02,0.1,4th order poly,FALSE,rowwise-freeze
1810,My200-4-2-0.csv,20,12,2,3,20,15,0.45,0.45,0.02,0.1,4th order poly,FALSE,trapezoid
1811,My200-4-2-0.csv,20,12,2,3,20,15,0.45,0.45,0.02,0.1,4th order poly,FALSE,trapezoid-freeze
