"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
1663,"My200-6-2-0.csv",20,4,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"grid",1645
1664,"My200-6-2-0.csv",20,12,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"trapezoid",1646
1665,"My200-6-2-0.csv",20,12,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"trapezoid-freeze",1647
1672,"My200-8-2-0.csv",20,4,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"grid",1654
1673,"My200-8-2-0.csv",20,12,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"trapezoid",1655
1674,"My200-8-2-0.csv",20,12,2,3,30,12,0.85,0.85,0.85,0,"shifted sin",TRUE,"trapezoid-freeze",1656
1795,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"grid",1777
1796,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",1778
1797,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",1779
1798,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",1780
1799,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",1781
1800,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"grid",1782
1801,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",1783
1802,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",1784
1803,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid",1785
1804,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",1786
1805,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"grid",1787
1806,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",1788
1807,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",1789
1808,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",1790
1809,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",1791
1810,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"grid",1792
1811,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",1793
1812,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",1794
1975,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"4th order poly",FALSE,"grid",1957
