"id","length","bottom_diam_x","bottom_diam_y","middle_diam_x","middle_diam_y","top_diam_x","top_diam_y","bend"
1,2.95,0.15,0.13,0.111,0.107,0.114,0.105,0.045
2,3.02,0.18,0.164,0.153,0.151,0.18,0.164,0.044
3,3.03,0.153,0.15,0.143,0.142,0.143,0.143,0.036
4,3.02,0.135,0.131,0.132,0.13,0.132,0.132,0.019
5,2.86,0.09,0.083,0.099,0.096,0.07,0.065,0
6,3.02,0.169,0.141,0.16,0.154,0.152,0.152,0.006
7,3.02,0.119,0.118,0.111,0.11,0.103,0.099,0
8,3.04,0.141,0.126,0.126,0.126,0.119,0.117,0
9,3.03,0.147,0.146,0.142,0.142,0.134,0.133,0
10,3.03,0.108,0.102,0.104,0.099,0.107,0.1,0
11,3.06,0.099,0.097,0.103,0.092,0.082,0.081,0
12,2.97,0.145,0.136,0.119,0.115,0.112,0.107,0
13,3.07,0.1,0.099,0.096,0.092,0.092,0.091,0
14,3.03,0.114,0.114,0.104,0.102,0.1,0.097,0
15,3.02,0.163,0.16,0.138,0.137,0.118,0.111,0.032
16,3.03,0.128,0.127,0.12,0.115,0.103,0.102,0
17,3.02,0.149,0.147,0.14,0.134,0.133,0.131,0
18,2.99,0.129,0.12,0.107,0.1,0.085,0.085,0
19,2.95,0.101,0.1,0.094,0.094,0.083,0.083,0.028
20,2.94,0.14,0.14,0.115,0.113,0.102,0.096,0.068
21,2.98,0.2,0.195,0.15,0.14,0.13,0.109,0.048
22,3,0.145,0.135,0.126,0.125,0.111,0.106,0.046
23,3,0.183,0.176,0.147,0.142,0.134,0.133,0.054
24,3.02,0.133,0.132,0.123,0.121,0.113,0.112,0
25,2.97,0.112,0.112,0.105,0.1,0.091,0.091,0
26,3,0.16,0.158,0.155,0.151,0.136,0.131,0.037
27,2.98,0.194,0.188,0.156,0.151,0.139,0.13,0.036
28,3.01,0.125,0.121,0.12,0.117,0.11,0.11,0
29,3.02,0.116,0.111,0.107,0.106,0.092,0.089,0.022
30,3.01,0.132,0.125,0.126,0.125,0.122,0.121,0
31,3.02,0.113,0.11,0.1,0.099,0.094,0.091,0.007
32,3,0.169,0.16,0.128,0.123,0.11,0.11,0.036
33,3.05,0.108,0.105,0.09,0.088,0.083,0.082,0
34,3,0.13,0.13,0.107,0.106,0.12,0.118,0
35,3,0.175,0.168,0.14,0.138,0.125,0.12,0.04
36,3,0.107,0.102,0.092,0.092,0.089,0.088,0.061
37,3.07,0.113,0.112,0.107,0.106,0.1,0.098,0
38,2.98,0.101,0.101,0.084,0.082,0.088,0.087,0
39,3.01,0.18,0.171,0.147,0.142,0.135,0.125,0
40,3.03,0.111,0.111,0.108,0.106,0.1,0.1,0
41,3.02,0.126,0.125,0.13,0.124,0.117,0.114,0.029
42,3.04,0.099,0.098,0.093,0.088,0.088,0.083,0
43,2.98,0.135,0.135,0.13,0.13,0.133,0.133,0
44,3.03,0.172,0.171,0.148,0.148,0.146,0.142,0
45,3,0.117,0.116,0.109,0.108,0.1,0.096,0
46,2.97,0.211,0.19,0.16,0.152,0.147,0.147,0
47,2.98,0.132,0.131,0.124,0.115,0.113,0.112,0
48,2.92,0.108,0.105,0.094,0.094,0.087,0.085,0
49,2.97,0.13,0.126,0.12,0.106,0.115,0.105,0
50,2.97,0.161,0.15,0.145,0.145,0.126,0.125,0.056
51,3,0.146,0.145,0.134,0.132,0.123,0.123,0
52,3,0.132,0.127,0.12,0.118,0.114,0.114,0
53,2.83,0.114,0.113,0.103,0.101,0.095,0.094,0
54,3.05,0.225,0.22,0.171,0.17,0.153,0.151,0
55,3.01,0.1,0.1,0.094,0.092,0.086,0.086,0
56,2.97,0.147,0.146,0.115,0.115,0.095,0.091,0.027
57,3.01,0.142,0.138,0.116,0.115,0.105,0.1,0.028
58,3.01,0.136,0.129,0.129,0.122,0.127,0.116,0
59,3.01,0.126,0.125,0.116,0.109,0.116,0.111,0
60,2.87,0.104,0.102,0.1,0.097,0.099,0.095,0
61,3,0.203,0.185,0.159,0.153,0.139,0.13,0.045
62,3.02,0.112,0.11,0.097,0.093,0.086,0.085,0
63,3,0.154,0.134,0.123,0.122,0.11,0.108,0.021
64,2.98,0.124,0.121,0.09,0.089,0.077,0.076,0
65,3,0.133,0.126,0.106,0.099,0.096,0.093,0
66,3.02,0.112,0.11,0.105,0.102,0.108,0.103,0
67,2.98,0.105,0.101,0.095,0.094,0.088,0.083,0
68,3.01,0.103,0.1,0.096,0.095,0.088,0.087,0
69,3,0.163,0.161,0.132,0.125,0.11,0.108,0.037
70,2.98,0.158,0.149,0.122,0.122,0.108,0.104,0
71,3,0.126,0.123,0.108,0.105,0.088,0.088,0
72,2.97,0.144,0.139,0.114,0.112,0.098,0.095,0
73,2.9,0.095,0.094,0.09,0.087,0.084,0.082,0
74,3,0.117,0.116,0.117,0.113,0.111,0.106,0
75,3,0.104,0.102,0.101,0.099,0.097,0.092,0
76,3,0.17,0.155,0.122,0.122,0.111,0.108,0
77,3,0.174,0.172,0.147,0.147,0.132,0.124,0.085
78,3.02,0.126,0.122,0.116,0.115,0.114,0.11,0
79,3.02,0.151,0.149,0.121,0.118,0.117,0.116,0
80,3,0.127,0.101,0.121,0.12,0.114,0.112,0
81,2.83,0.113,0.112,0.113,0.113,0.104,0.104,0
82,3.03,0.11,0.102,0.108,0.105,0.103,0.099,0
83,3.03,0.099,0.093,0.095,0.092,0.086,0.083,0
84,3.04,0.134,0.125,0.104,0.095,0.096,0.086,0.059
85,3.02,0.103,0.1,0.097,0.097,0.094,0.093,0
86,3,0.115,0.114,0.113,0.107,0.104,0.103,0
87,3.03,0.16,0.159,0.13,0.127,0.122,0.122,0.026
88,3,0.11,0.109,0.107,0.102,0.105,0.102,0
89,2.87,0.099,0.096,0.098,0.088,0.087,0.086,0.03
90,3.03,0.17,0.164,0.132,0.121,0.111,0.11,0.05
